session_id,request_signature,timestamp,source_ip_actual,claimed_ip_header,claimed_ip_mode,user_agent,method,path,path_scope,url_original,query_string,body_preview,status_code,rule_ids,rule_names,waf_messages,severities,engine_modes,event_actions,event_outcomes,unique_ids,merged_row_count,raw_row_indexes
tmp-session-944029c8784a,ac8369078fca508d,2026-03-18T21:31:59.555000+00:00,192.168.40.100,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",GET,/lms/coruse,frontend_or_other,/lms/coruse,,,200,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,DetectionOnly,,,177389471866.860366,1,39
tmp-session-944029c8784a,4d8fa096b8394201,2026-03-18T21:31:59.556000+00:00,192.168.40.100,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",GET,/api/auth/me,business,/api/auth/me,,,200,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,DetectionOnly,,,177389471840.603237,1,36
tmp-session-944029c8784a,44ee07c88817c05d,2026-03-18T21:31:59.556000+00:00,192.168.40.100,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",GET,/assets/index-4Oci7h24.css,asset,/assets/index-4Oci7h24.css,,,200,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,DetectionOnly,,,177389471826.317016,1,38
tmp-session-944029c8784a,2a45439405c5353f,2026-03-18T21:31:59.556000+00:00,192.168.40.100,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",GET,/assets/index-BhpaXTrQ.js,asset,/assets/index-BhpaXTrQ.js,,,200,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,DetectionOnly,,,177389471821.000790,1,37
tmp-session-638c46e3f3f5,9128259790bb1c3c,2026-03-18T22:40:53.552000+00:00,192.168.40.100,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",GET,/api/auth/me,business,/api/auth/me,,,401,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,DetectionOnly,,,177389885233.579103,1,35
tmp-session-638c46e3f3f5,cfdd07294a836003,2026-03-18T22:40:53.553000+00:00,192.168.40.100,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",POST,/api/auth/refresh,business,/api/auth/refresh,,,401,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,DetectionOnly,,,177389885231.774555|177389885333.458736,2,33|34
tmp-session-638c46e3f3f5,f477a67c40bb433d,2026-03-18T22:44:27.566000+00:00,192.168.40.100,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",POST,/api/auth/refresh,business,/api/auth/refresh,,,401,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,DetectionOnly,,,177389906767.341554,1,32
tmp-session-4abdc34111e7,5d1c1516c5146259,2026-03-18T23:13:12.902000+00:00,192.168.40.100,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",POST,/api/auth/refresh,business,/api/auth/refresh,,,401,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,DetectionOnly,,,177390005242.662066|177389951815.360229,2,30|31
tmp-session-4abdc34111e7,43d1a577af9e6563,2026-03-18T23:13:12.904000+00:00,192.168.40.100,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",GET,/api/auth/me,business,/api/auth/me,,,200,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,DetectionOnly,,,177390053359.608275,1,29
tmp-session-4abdc34111e7,c652f297e39bbe16,2026-03-18T23:16:50.908000+00:00,192.168.40.100,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",GET,/api/auth/me,business,/api/auth/me,,,200,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,Enabled,,,177390100395.677079,1,28
tmp-session-bca6d931fb38,a1a7e25ed8177e78,2026-03-18T23:21:42.905000+00:00,192.168.40.100,,none,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",GET,/api/auth/me,business,/api/auth/me,,,200,920350,Host header is a numeric IP address,Host header is a numeric IP address,4,Enabled,,,177390130133.894175,1,27
